文件名,离群值序号,diff,fp,rx
nlos2-5.8m.csv,21,-0.010999965667724432,-82.5,-79.5
nlos2-5.8m.csv,29,-0.023000049591064275,-82.5,-80.0
nlos2-6.0m.csv,58,0.0,-83.0,-79.0
nlos2-6.2m.csv,66,0.1410000801086424,-81.0,-79.0
nlos2-6.2m.csv,74,0.07299976348876935,-83.0,-78.5
nlos2-6.4m.csv,4,-0.02300014495849645,-83.0,-79.5
nlos2-6.4m.csv,60,0.04899988174438441,-83.0,-79.5
nlos2-6.8m.csv,36,0.04999990463256854,-83.0,-79.0
nlos2-6.8m.csv,81,0.052000236511230646,-83.0,-79.0
nlos2-7.0m.csv,23,0.004000186920166016,-83.0,-79.5
nlos2-7.0m.csv,56,-0.034999847412109375,-83.0,-79.5
nlos2-7.0m.csv,95,0.034999847412109375,-81.0,-84.5
nlos2-7.2m.csv,57,0.09199981689453107,-81.0,-78.5
nlos2-7.4m.csv,77,0.1139999389648434,-80.5,-79.0
nlos2-7.6m.csv,3,0.06599988937377965,-80.5,-78.5
nlos2-7.6m.csv,47,-0.022999858856200817,-81.0,-79.5
nlos3-1.2m.csv,25,0.14300005435943608,-80.0,-78.5
nlos3-1.4m.csv,57,0.029000020027160733,-83.0,-79.0
nlos3-1.6m.csv,8,0.023999953269958407,-83.0,-79.5
nlos3-1.6m.csv,9,0.023999953269958407,-82.0,-80.0
nlos3-1.6m.csv,48,0.17999997138977042,-80.0,-78.5
nlos3-1.8m.csv,51,0.022000026702880815,-83.0,-79.0
nlos3-1.8m.csv,65,0.08499999046325679,-81.5,-79.5
nlos3-2.0m.csv,20,0.0969998836517334,-82.5,-79.5
nlos3-2.2m.csv,96,0.033999967575073065,-82.5,-79.0
nlos3-2.2m.csv,97,0.0699999809265135,-82.5,-79.0
nlos3-2.6m.csv,24,0.015000009536743075,-83.0,-79.0
nlos3-2.8m.csv,5,-0.042000102996825994,-82.0,-79.0
nlos3-2.8m.csv,66,0.08800001144409197,-83.0,-79.0
nlos3-2.8m.csv,83,0.051999998092651545,-83.0,-79.5
nlos3-3.0m.csv,79,0.06299996376037598,-83.0,-79.0
nlos3-3.2m.csv,82,-0.005000066757202326,-81.5,-79.0
nlos3-3.6m.csv,5,0.0640000343322753,-83.0,-79.5
nlos3-3.6m.csv,72,0.0640000343322753,-83.0,-79.0
nlos3-3.8m.csv,6,0.09800000190734881,-80.5,-78.5
nlos3-4.0m.csv,14,-0.015000104904174805,-82.5,-79.5
nlos3-4.0m.csv,30,-0.003000020980834961,-82.5,-79.0
nlos3-4.0m.csv,80,0.010000228881835938,-82.5,-79.0
nlos3-4.2m.csv,24,0.03600006103515607,-81.5,-78.5
nlos3-4.2m.csv,56,-0.0119997978210451,-83.0,-79.5
nlos3-4.2m.csv,71,0.02100019454956037,-83.0,-79.0
nlos3-4.2m.csv,72,0.044999885559081854,-81.0,-78.5
nlos3-4.4m.csv,25,0.035999870300292613,-83.0,-79.5
nlos3-4.4m.csv,76,0.06400022506713832,-81.5,-80.0
nlos3-4.8m.csv,12,0.06399984359741229,-83.0,-79.0
nlos3-4.8m.csv,74,0.03199977874755877,-83.0,-79.5
nlos3-5.0m.csv,26,0.028999805450439453,-83.0,-79.0
nlos3-5.0m.csv,58,0.04400014877319336,-83.0,-79.5
nlos3-5.2m.csv,74,-0.03699989318847674,-82.5,-79.0
nlos3-5.2m.csv,82,-0.03900022506713885,-82.5,-79.5
nlos3-5.4m.csv,16,0.03800020217895472,-83.0,-79.5
nlos3-5.6m.csv,11,0.06200017929077184,-83.0,-79.5
nlos3-6.0m.csv,2,0.005000114440917969,-83.0,-80.0
nlos3-6.0m.csv,18,-0.02299976348876953,-82.5,-79.5
nlos3-6.0m.csv,33,-0.006999969482421875,-83.0,-79.5
nlos3-6.2m.csv,17,0.03500013351440412,-83.0,-79.5
nlos3-6.6m.csv,22,0.02699985504150426,-83.0,-79.0
nlos3-6.8m.csv,4,0.046000194549560725,-81.5,-78.5
nlos3-7.0m.csv,49,0.0279998779296875,-81.0,-87.5
nlos3-7.0m.csv,97,0.06699991226196289,-81.0,-87.0
nlos3-7.2m.csv,15,0.014000225067138494,-83.0,-79.5
nlos3-7.2m.csv,62,-0.009999942779541193,-83.0,-79.5
nlos3-7.2m.csv,73,0.02399997711181623,-83.0,-79.0
nlos3-7.4m.csv,5,0.058000183105468395,-83.0,-79.0
nlos3-7.4m.csv,18,0.027000045776366832,-83.0,-79.0
nlos3-7.4m.csv,30,0.00999984741210902,-82.5,-87.0
nlos3-7.6m.csv,42,-0.01800022125244105,-83.0,-79.5
